,SpikeTimes,ClusterIDs,session
1,1.2217746142722,5,1
4,7.90855932843074,6,1
5,8.07816274531682,6,1
6,8.0897129780116,6,1
8,9.70424550491355,6,1
9,10.2486564727955,6,1
10,10.3752090223647,6,1
11,11.1562747579712,6,1
12,11.1664749634679,6,1
13,11.2836773246651,6,1
14,11.2874774012227,6,1
15,11.3047277487539,6,1
16,11.3298782554443,6,1
17,11.5251321890941,6,1
18,11.5345823794807,6,1
19,11.5611329143765,6,1
20,11.9718911896474,6,1
21,11.9786413256379,6,1
22,12.0813433947075,6,1
23,12.1110439930655,6,1
24,12.2075959382326,6,1
25,12.2238962666244,6,1
26,12.232446438879,6,1
27,12.3278983618847,6,1
28,12.8479088381864,6,1
29,13.0105121140453,6,1
30,13.0167122389551,6,1
31,13.1472648691112,6,1
32,13.1959658502571,6,1
33,13.2077660879886,6,1
34,13.2106161454068,6,1
35,13.2605671517361,6,1
36,13.282667596979,6,1
37,13.2911177672189,6,1
38,13.3086681207941,6,1
39,13.3112181721682,6,1
40,13.3211683726282,6,1
41,13.328418518692,6,1
42,13.3355186617339,6,1
43,13.4031700246604,6,1
44,13.5428728391591,6,1
45,13.6095741829463,6,1
46,13.6205744045604,6,1
47,13.6234744629859,6,1
48,13.6308246110644,6,1
49,13.6394747853336,6,1
50,13.7102262107151,6,1
51,13.7128762641039,6,1
52,13.7322766549506,6,1
53,13.7563771404868,6,1
54,13.8202784278631,4,1
56,14.7842978493147,6,1
57,16.0941742385141,6,1
58,16.4469313452745,6,1
59,16.4919822528849,6,1
60,16.5733338918217,6,1
61,16.6972863890094,6,1
62,19.3751903389409,5,1
63,19.5667441980478,6,1
64,19.7882486605493,6,1
65,19.828449470448,5,1
66,21.7089873563812,6,1
67,21.7141874611442,6,1
68,21.8120894335095,6,1
69,24.2149378420818,6,1
70,24.2951894588572,6,1
71,24.4096917656582,6,1
72,24.4682429452495,6,1
73,24.722848074608,6,1
74,24.9308522651286,6,1
75,25.0278042183545,6,1
76,25.5080638938235,6,1
77,25.7244182525694,6,1
78,25.7273683120022,6,1
80,27.1026460187981,6,1
81,27.5347047231945,5,1
82,28.0843657968468,5,1
83,28.1730175828548,6,1
84,28.6881279604374,5,1
85,28.8311308414204,6,1
86,28.8393810076309,6,1
87,28.8460811426141,6,1
88,28.958633410129,6,1
89,29.0612854781912,6,1
90,30.4915142920501,5,1
91,34.141887833673,6,1
92,34.1510380180156,6,1
93,35.7939211160775,5,1
94,35.9488242368066,6,1
95,36.1701786962861,6,1
96,36.2878810675567,6,1
97,36.3139815933865,6,1
98,36.31673164879,6,1
99,36.4012833521964,6,1
100,36.9987953898699,6,1
101,37.0064455439924,6,1
102,37.3493024513001,6,1
103,37.3544025540485,6,1
104,37.6659088297561,6,1
105,37.8008615485578,6,1
106,37.8045116220934,6,1
107,38.0306661782773,6,1
108,44.5191468973385,6,1
109,44.7270010848372,6,1
110,44.7360012661578,6,1
111,44.7408513638694,6,1
112,44.8635038348663,6,1
113,44.8664538942992,6,1
114,44.942455425451,6,1
115,44.9986065566901,6,1
116,45.0356573031266,6,1
117,45.0448074874692,6,1
118,45.051607624467,6,1
119,45.1576597610281,6,1
120,48.9175855097258,6,1
121,48.9250356598189,5,1
122,48.984886865601,6,1
123,49.1055392963044,4,1
124,52.9791673356857,5,1
125,56.947397280948,5,1
128,60.2008628263322,6,1
129,60.6174212184542,6,1
130,60.7070730246089,6,1
131,60.7252733912795,6,1
132,60.8653262128296,6,1
133,61.4079871454548,6,1
134,61.4279375473821,6,1
135,61.4477879472948,6,1
136,61.4713884227577,6,1
137,61.5423398521685,6,1
138,61.54568991966,6,1
139,61.5528900647165,6,1
140,61.7042431139247,6,1
141,61.7851947448028,6,1
142,61.8032951094587,6,1
143,61.9409478826566,6,1
144,61.9437979400748,6,1
145,61.9622983127894,6,1
146,62.2780546741206,6,1
147,62.3909069476796,6,1
148,62.4372078804733,6,1
149,65.5509706113588,6,1
150,65.9988296340736,6,1
151,66.0854813797881,6,1
152,66.0903814785071,6,1
153,66.2013837147946,6,1
154,66.2052837933668,6,1
155,66.3934375839748,6,1
156,66.405637829765,6,1
157,66.5982917110333,6,1
158,68.3034760642367,5,1
162,69.3998481521084,5,1
164,69.5035502413248,6,1
165,69.6338028654368,6,1
166,69.695604110505,6,1
167,69.7218046383494,6,1
168,69.7380549657339,6,1
169,69.7458051218711,6,1
170,69.7967061473398,6,1
171,69.8071563578732,6,1
172,69.8115064455115,6,1
173,69.8308568353508,6,1
174,69.8332568837029,6,1
175,69.8420070599869,6,1
176,69.8591574055034,6,1
177,69.8737576996457,6,1
178,69.8955581388445,6,1
179,69.8979581871966,6,1
180,69.9041583121064,6,1
181,69.9081583926933,6,1
182,69.9741097213704,6,1
183,69.9784598090087,6,1
184,69.9829098986617,6,1
185,69.9864599701826,6,1
186,70.0036103156991,6,1
187,70.0090104244914,6,1
188,70.6239728137255,5,1
189,71.8268470472244,6,1
190,72.5060607308861,6,1
191,72.6013126498625,5,1
192,72.7147649355095,6,1
194,73.3866284710927,5,1
195,73.6561339006375,6,1
196,73.7504358004745,6,1
197,73.7530858538633,5,1
198,73.8960887348463,6,1
199,74.6818545651425,6,1
200,75.2363157354991,6,1
201,75.3672183727066,6,1
