2.317227087540586067e-02,9.161483921368092365e-02,4.554596778409439502e-03,4.847583163676932871e-02,1.425555736914798088e-01,7.358790472897703827e-01,9.999999999999999791e-17,5.762395064835109082e+01,7.533868515587571525e-07
3.776278104345551223e-02,2.328733151886824559e-01,6.423240857680641850e-06,1.035040790362241024e-04,4.268737509163580968e-02,6.180336832332942176e-01,9.999999999999999791e-17,2.175309062987546938e+01,2.794886491120708162e-07
9.999999999999999791e-17,3.254306654282857481e-01,9.196020618122586754e-01,8.177210446666656430e-04,1.172104806077828520e+00,4.627361476010945496e-01,1.169882247118943397e+00,1.526673781392409168e+00,6.273342326577818762e-02
9.999999999999999791e-17,2.778681963109028846e-02,9.999999999999998890e-01,9.999999999999999791e-17,3.513016121460358909e-01,9.136883586224049392e-01,6.589955472271405990e-01,1.991201074306842855e+01,4.563444535540785857e-02
1.363013305879021142e-01,2.661712840548557946e-01,1.368979543269227897e-02,6.277464064808277455e-02,4.361835630530785934e-01,3.967471836462737600e-01,8.207668722822280216e+00,1.119408967952973288e+00,1.203596635004357818e-01
9.999999999999999791e-17,9.999999999999999791e-17,2.912946485538311231e-02,1.507680247679585861e-01,2.527665978808165716e-03,9.999999999999998890e-01,5.658602490764252924e-01,2.779724732308399116e+00,9.999999999999999791e-17
6.885618925390550593e-02,5.596113187574378728e-02,1.031712556700833392e-06,1.271561281282000966e+00,1.624080765281259886e+00,9.999999999999998890e-01,1.667807122626549399e+00,2.021752343695744525e+00,6.012362922948973065e-02
2.272633926001414902e-03,5.273583580130978277e-01,5.939957859781357097e-02,3.906584696935107119e-03,1.720129718579204228e-02,7.700365779276135969e-01,9.831145928271629586e+00,1.026443325400450357e+00,2.559271251929360891e-01
5.959702749365684837e-02,9.999999999999999791e-17,2.572585793129396614e-01,2.078480090265101554e-03,1.057157398481610722e-01,9.999999999999998890e-01,2.517965238405690531e+00,1.033794219221600086e+00,9.999999999999999791e-17
1.286195286096607519e-03,9.999999999999999791e-17,1.086162470235108729e-02,8.858292037295610599e-02,2.240859303940035685e-01,9.999999999999998890e-01,1.307102341801311685e+00,8.633483870524840675e-01,9.999999999999999791e-17
1.397993896659700808e-02,9.999999999999999791e-17,4.394187598535201911e-01,7.080805740423853911e-02,9.999999999999999791e-17,9.999999999999998890e-01,1.917421329311771672e+00,2.259002424540534015e+00,9.999999999999999791e-17
3.908011933594228264e-03,9.999999999999999791e-17,3.800004027145436059e-01,3.826178248484987665e-02,2.521184283618440602e-01,9.999999999999998890e-01,1.232021441156736730e+00,3.182420420812882789e+00,9.999999999999999791e-17
9.999999999999999791e-17,9.999999999999999791e-17,3.219915783143453281e-01,9.559330161753942789e-02,8.814522708588605482e-02,9.999999999999998890e-01,1.802531017411190151e+00,1.192433936043331810e+00,9.999999999999999791e-17
9.999999999999999791e-17,4.490871303691046368e-02,9.999999999999998890e-01,9.999999999999999791e-17,1.160399991625092220e+00,9.999999999999998890e-01,2.590000187523977093e+00,7.953044851387687686e+00,6.451659230650674814e-01
9.999999999999999791e-17,1.089507616358367931e-01,4.886023573394005504e-01,1.098450542211986125e-01,1.717856271485705300e+00,7.951204236750605281e-01,1.311155260113709309e+00,3.088380184303518661e+01,1.321766091725186387e-01
9.999999999999999791e-17,1.432321965883303072e-01,9.165616512943098870e-01,4.397089971648794993e-06,2.084112941158613808e+01,5.971800268346594276e-01,1.334737152328752074e+01,4.453944803976325773e+01,5.414306863728498426e-02
9.999999999999999791e-17,4.542273199204522327e-01,6.951714415677905379e-01,7.429891087291023988e-01,1.190479600988600728e+00,9.999999999999998890e-01,1.034169018743440205e+01,8.039696359751941079e-01,3.961160795849729133e-01
9.999999999999999791e-17,9.999999999999999791e-17,9.999999999999998890e-01,2.962188942478904963e-03,9.999999999999999791e-17,9.999999999999998890e-01,2.343832048305183768e+00,2.257777280558059019e+01,9.999999999999999791e-17
9.999999999999999791e-17,1.211406323760355619e-01,4.145094715615743053e-01,1.398692493340648543e-04,4.985425703398234418e+02,9.999999999999999791e-17,1.957792543345574510e-01,1.175622396549614201e+01,6.797383600164677575e-02
2.406587793871184444e-06,3.058112443847600392e-01,9.848811729829181072e-01,9.999999999999999791e-17,2.565133872535771964e-01,6.538425430368671742e-01,1.979358218237692668e+01,3.450871115156333246e+01,7.713531778475093970e-02
